symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AMZN,2025-02-04 11:04:00+00:00,237.31,237.31,237.31,237.31,128.0,8.0,237.31
AMZN,2025-02-04 11:07:00+00:00,237.33,237.35,237.33,237.35,612.0,24.0,237.34
AMZN,2025-02-04 11:08:00+00:00,237.35,237.41,237.35,237.41,938.0,25.0,237.377213
AMZN,2025-02-04 11:09:00+00:00,237.44,237.44,237.44,237.44,325.0,15.0,237.44
AMZN,2025-02-04 11:10:00+00:00,237.53,237.54,237.37,237.39,2530.0,67.0,237.473271
AMZN,2025-02-04 11:11:00+00:00,237.4,237.4,237.4,237.4,996.0,16.0,237.4
AMZN,2025-02-04 11:12:00+00:00,237.4,237.4,237.4,237.4,3320.0,46.0,237.4
AMZN,2025-02-04 11:14:00+00:00,237.45,237.45,237.45,237.45,527.0,32.0,237.45
AMZN,2025-02-04 11:16:00+00:00,237.41,237.41,237.41,237.41,664.0,18.0,237.41
AMZN,2025-02-04 11:17:00+00:00,237.4,237.4,237.4,237.4,910.0,17.0,237.4
AMZN,2025-02-04 11:18:00+00:00,237.02,237.03,237.02,237.03,1311.0,75.0,237.026667
AMZN,2025-02-04 11:19:00+00:00,237.0,237.0,237.0,237.0,1312.0,30.0,237.0
AMZN,2025-02-04 11:21:00+00:00,237.12,237.13,237.12,237.13,1334.0,27.0,237.12622
AMZN,2025-02-04 11:23:00+00:00,237.01,237.01,237.01,237.01,429.0,16.0,237.01
